# aircraft: Contender.par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.009847716,0,0,0,9.91391E-15,2.89638649E-07,-0.0122323409,0.7071067,3.30540729E-06,0.707106769,-3.30540752E-06,-1.36218412E-10,-0.00397967268,-0.007063195,0,1
0.100,0.316660047,0,0,0,2.37021125E-10,0.004098389,-0.188463792,0.707105756,0.00123008131,0.707105637,-0.00123007793,2.08383337E-08,0.139652461,-0.00518465042,0,1
0.200,0.4283918,0,0,0,5.378656E-08,0.0372143425,-0.188004687,0.707088649,0.00533438567,0.7070847,-0.005334339,1.78827383E-06,0.5463405,-0.0051407516,0,1
0.300,0.469081134,0,0,0,3.16346274E-07,0.117003888,-0.188395113,0.707077444,0.006060962,0.7070841,-0.00606101751,-1.54743574E-07,1.05601883,-0.00512150675,0,1
0.400,0.483898938,0,0,0,-1.00191926E-06,0.249890447,-0.188139,0.7070879,0.00313864741,0.7071117,-0.0031391026,-2.993167E-05,1.60185587,-0.00514782965,0,1
0.500,0.489295125,0,0,0,-5.556386E-06,0.4380866,-0.187882736,0.7070787,0.005170009,0.7070971,-0.005170766,-5.748562E-05,2.16020155,-0.00511305965,0,1
0.600,0.49126026,0,0,0,-1.1908829E-05,0.682401955,-0.188512683,0.7070694,0.00565427169,0.707098961,-0.0056554256,-7.397264E-05,2.72334933,-0.0050893575,0,1
0.700,0.4919759,0,0,0,-2.230626E-05,0.9830389,-0.188459054,0.7070783,0.00175229425,0.707130849,-0.00175413734,-0.000140435455,3.28595138,-0.005147351,0,1
0.800,0.492236525,0,0,0,-4.02155056E-05,1.33985412,-0.188202634,0.7070719,0.003392701,0.7071254,-0.00339512527,-0.000215526059,3.84717178,-0.005107019,0,1
0.900,0.492331415,0,0,0,-6.4644E-05,1.75279784,-0.188595176,0.7070471,0.00678841164,0.7071012,-0.00679135276,-0.000270934048,4.40870667,-0.00500449538,0,1
1.000,0.492366,0,0,0,-9.590028E-05,2.22183228,-0.188146845,0.7070598,0.00251989719,0.7071447,-0.00252360548,-0.000365575921,4.96820641,-0.00509807467,0,1
1.100,0.4923786,0,0,0,-0.000138897478,2.74660587,-0.188293919,0.707057,0.00191969518,0.7071513,-0.00192406948,-0.0004950126,5.52371836,-0.00510990433,0,1
1.200,0.492383152,0,0,0,-0.000194553213,3.326858,-0.18851161,0.7070365,0.00613346742,0.707123756,-0.00613838341,-0.0006125046,6.07843971,-0.00493998267,0,1
1.300,0.492384821,0,0,0,-0.000260898552,3.9625926,-0.18847546,0.7070376,0.00449926127,0.7071473,-0.004504662,-0.000722106139,6.632711,-0.004964059,0,1
