# aircraft: Depron P-51.par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.009847716,0,0,0,7.115986E-15,2.078962E-07,-0.005619542,0.7071067,-1.76034465E-19,0.707106769,1.76034478E-19,-4.267143E-10,-0.01246662,-0.0137339942,0,1
0.100,0.316660047,0,0,0,2.0933192E-05,0.0009051692,-0.0972292051,0.7071213,-0.00351293082,0.707075238,0.00342767476,0.0008338643,0.01641351,-0.0100684054,0,1
0.200,0.4283918,0,0,0,3.716581E-05,0.004559649,-0.0942526162,0.706912756,-0.0176118631,0.7068625,0.0175929181,-0.000276106468,-0.008088693,-0.147068441,0,1
0.300,0.469081134,0,0,0,3.615908E-05,0.0157920029,-0.08806091,0.7053488,-0.0511024855,0.705161333,0.0511771366,7.18104347E-05,0.247480392,0.301911,0,1
0.400,0.483898938,0,0,0,8.395327E-06,0.03512596,-0.08439557,0.70517987,-0.0463917963,0.7059592,0.04680467,-0.000548404758,0.281775862,0.1355074,0,1
0.500,0.489295125,0,0,0,-2.533479E-05,0.06456875,-0.08141479,0.7045022,-0.0556896925,0.7052579,0.0564509258,-6.447786E-05,0.322726071,-0.03257475,0,1
0.600,0.49126026,0,0,0,-6.738126E-05,0.103538983,-0.08086482,0.70450145,-0.05526821,0.7052932,0.05643244,-0.0006194951,0.436863273,-0.008773922,0,1
0.700,0.4919759,0,0,0,-0.000136055358,0.152872816,-0.08067697,0.704479635,-0.0555709377,0.7052344,0.0571377426,-0.0007390565,0.541569054,-0.008773713,0,1
0.800,0.492236525,0,0,0,-0.000214966727,0.212620825,-0.08048882,0.704462051,-0.05582845,0.705176234,0.0578184053,-0.000832678052,0.64503926,-0.008787914,0,1
0.900,0.492331415,0,0,0,-0.000302510278,0.282636225,-0.08030032,0.704444051,-0.0561416075,0.705105662,0.0585889,-0.0009115329,0.7468527,-0.00880422,0,1
1.000,0.492366,0,0,0,-0.0003963755,0.3627538,-0.08031537,0.704478264,-0.0557243936,0.705098569,0.0586616844,-0.000976432755,0.8471777,-0.008812956,0,1
1.100,0.4923786,0,0,0,-0.000496206,0.452822655,-0.08033344,0.7045131,-0.05529177,0.70509,0.0587563366,-0.00102672039,0.9458643,-0.008823042,0,1
1.200,0.492383152,0,0,0,-0.000600971165,0.5526737,-0.08056917,0.7045294,-0.0551366359,0.7050499,0.0591849871,-0.00104625954,1.04263973,-0.008838554,0,1
