# aircraft: El Trainer.par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.009847716,0,0,0,6.37067964E-15,1.8612181E-07,-0.00794981,0.7071067,-2.879101E-06,0.707106769,2.8791012E-06,-8.026108E-11,-0.00234485767,-0.005689796,0,1
0.100,0.316660047,0,0,0,2.63338262E-09,0.00273946975,-0.130557343,0.70710665,0.00024830387,0.7071067,-0.000248298835,9.21092536E-08,0.09212813,-0.00440921448,0,1
0.200,0.4283918,0,0,0,2.273397E-10,0.0243349764,-0.1300188,0.7070984,0.00340788253,0.707098663,-0.003407835,-8.190994E-08,0.354676366,-0.004388813,0,1
0.300,0.469081134,0,0,0,-1.90277518E-08,0.07592125,-0.129483327,0.707076252,0.00654337462,0.7070768,-0.006543272,-3.42343071E-07,0.680930734,-0.004359355,0,1
0.400,0.483898938,0,0,0,-3.45480622E-08,0.161532685,-0.127575159,0.707012,0.0118869375,0.7070017,-0.011886457,1.79931942E-06,1.027518,-0.0120530277,0,1
0.500,0.489295125,0,0,0,1.29675414E-06,0.282308042,-0.124659069,0.7068684,0.0182242077,0.7068753,-0.0182236452,1.69970845E-05,1.38092065,-0.00422807224,0,1
0.600,0.49126026,0,0,0,1.06702544E-06,0.438149065,-0.12456274,0.7069556,0.0144873951,0.706961036,-0.0144920936,-2.06817185E-05,1.73375666,-0.0042199064,0,1
0.700,0.4919759,0,0,0,-4.152471E-07,0.629159,-0.124049827,0.7069556,0.0145581216,0.706958,-0.0145649789,-9.304056E-06,2.084056,-0.00417263247,0,1
0.800,0.492236525,0,0,0,-1.73709179E-06,0.8550495,-0.126095608,0.707026362,0.01085524,0.7070204,-0.010864269,-1.6415077E-05,2.43142867,-0.004165113,0,1
0.900,0.492331415,0,0,0,-1.94241989E-06,1.11550486,-0.125591308,0.706988633,0.013538965,0.706965446,-0.013547726,1.57548511E-05,2.775133,-0.004075026,0,1
1.000,0.492366,0,0,0,1.98777661E-06,1.41010308,-0.125099,0.7069452,0.0160642471,0.7069033,-0.0160707049,6.626929E-05,3.11421,-0.0039705243,0,1
1.100,0.4923786,0,0,0,1.222027E-05,1.73834646,-0.12462,0.7069271,0.01718306,0.706868768,-0.0171852931,0.000142123215,3.44802737,-0.00387166627,0,1
1.200,0.492383152,0,0,0,2.98740651E-05,2.099779,-0.124667533,0.707021,0.0130862473,0.706950366,-0.0130851492,0.00021435885,3.77853179,-0.00387004577,0,1
