# aircraft: El Trainer (floats).par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.009847716,0,0,0,6.37067964E-15,1.8612181E-07,-0.00994703,0.7071067,6.118561E-08,0.707106769,-6.118562E-08,-8.026108E-11,-0.002344858,-0.005689796,0,1
0.100,0.316660047,0,0,0,-2.37794384E-09,0.00274039386,-0.150462508,0.7071048,0.00169497135,0.7071047,-0.00169497437,-5.869296E-08,0.09217057,-0.00440371037,0,1
0.200,0.4283918,0,0,0,1.24293464E-09,0.02434702,-0.1499249,0.7070873,0.005239339,0.707087338,-0.00523934048,7.552217E-08,0.3548686,-0.004379213,0,1
0.300,0.469081134,0,0,0,4.3328745E-09,0.07596104,-0.149390861,0.7070528,0.008724159,0.707053065,-0.00872413348,-5.271006E-08,0.6812979,-0.004346147,0,1
0.400,0.483898938,0,0,0,3.47218188E-09,0.1615426,-0.148239166,0.706987262,0.0132010924,0.706979752,-0.01320076,1.18439789E-06,1.03333271,0.0400023758,0,1
0.500,0.489295125,0,0,0,8.85978352E-07,0.282312185,-0.146112531,0.706893861,0.017337041,0.706894636,-0.0173365455,1.05715244E-05,1.38175488,-0.004235152,0,1
0.600,0.49126026,0,0,0,1.91435561E-06,0.4382328,-0.145596847,0.7068773,0.01835967,0.7068595,-0.01835943,1.63428085E-05,1.73444116,-0.00418547,0,1
0.700,0.4919759,0,0,0,5.331598E-06,0.629301548,-0.145924971,0.706845,0.0195382852,0.706828654,-0.0195358731,5.13680679E-05,2.08856726,0.0412447974,0,1
0.800,0.492236525,0,0,0,1.02696295E-05,0.855153739,-0.145310283,0.7069111,0.0175249819,0.706868052,-0.0175228454,6.23725355E-05,2.43042946,-0.00408604,0,1
0.900,0.492331415,0,0,0,2.00351569E-05,1.1154269,-0.144816056,0.7068669,0.0197102129,0.7067973,-0.0197037943,0.000137440249,2.7724,-0.003990989,0,1
1.000,0.492366,0,0,0,3.85637723E-05,1.40964043,-0.144733563,0.706863463,0.02028727,0.7067683,-0.0202751122,0.000236845139,3.109287,-0.00390453637,0,1
1.100,0.4923786,0,0,0,6.8133435E-05,1.73731279,-0.144459352,0.7069316,0.01824368,0.7068117,-0.0182256624,0.000357660581,3.44184518,-0.00385436974,0,1
1.200,0.492383152,0,0,0,0.000110646892,2.09809279,-0.144369572,0.7070413,0.0138669237,0.7069007,-0.013844585,0.000494257954,3.77173185,-0.00385493785,0,1
1.300,0.492384821,0,0,0,0.000168592916,2.49171758,-0.1455481,0.7070231,0.0159062631,0.706833243,-0.01587725,0.0006748908,4.098079,-0.00372757949,0,1
1.400,0.492385447,0,0,0,0.000246701384,2.9176712,-0.1450996,0.7070302,0.0161448661,0.706815541,-0.01611055,0.000888458337,4.418536,-0.003624143,0,1
1.500,0.492385656,0,0,0,0.000346937275,3.37545919,-0.145081043,0.7070503,0.0161824822,0.706793666,-0.0161437467,0.00112642313,4.73473024,-0.00352340378,0,1
1.600,0.492385745,0,0,0,0.000472896761,3.86462831,-0.145095512,0.707073033,0.01610587,0.7067746,-0.0160633065,0.001401291,5.046279,-0.00342064165,0,1
1.700,0.492385775,0,0,0,0.0006283764,4.3847065,-0.1451177,0.7070954,0.0160459448,0.706755,-0.0159998238,0.00171583588,5.352967,-0.00331213977,0,1
1.800,0.492385775,0,0,0,0.0008173824,4.93520451,-0.145135686,0.7071198,0.0159181748,0.7067364,-0.0158686377,0.00207245466,5.654627,-0.00320091657,0,1
