# aircraft: FT Baby Blender Floats.par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.009847716,0,0,0,6.74146E-15,1.969543E-07,-0.0140948435,0.7071067,8.148815E-06,0.707106769,-8.148816E-06,-8.72775E-11,-0.00254984526,-0.007847995,0,1
0.100,0.316660047,0,0,0,5.88007332E-09,0.00371235982,-0.215379924,0.707092166,0.004754872,0.7070894,-0.00475485,3.68481466E-07,0.11020045,-0.0055802986,0,1
0.200,0.4283918,0,0,0,3.1522454E-08,0.0281750411,-0.216311932,0.707038,0.009843967,0.7070385,-0.009844024,-4.94447136E-07,0.3952063,-0.005528955,0,1
0.300,0.469081134,0,0,0,1.78133448E-07,0.0852168053,-0.219182223,0.706924438,0.0146030188,0.7069874,-0.0146065224,-3.31851079E-05,0.748898,-0.009779831,0,1
0.400,0.483898938,0,0,0,-8.21969752E-06,0.179124489,-0.217752323,0.7069946,0.0103286887,0.7070677,-0.0103575494,-0.000115021357,1.12713146,-0.005475769,0,1
0.500,0.489295125,0,0,0,-2.124637E-05,0.3111849,-0.217344478,0.7069218,0.0155060729,0.706950545,-0.0155527415,-0.000136613075,1.51274776,-0.005374316,0,1
0.600,0.49126026,0,0,0,-4.1205145E-05,0.481993169,-0.21800819,0.706999838,0.00530773168,0.707173169,-0.00539738638,-0.00030028398,1.89927375,-0.005484663,0,1
0.700,0.4919759,0,0,0,-7.879377E-05,0.691310346,-0.217596635,0.7070106,0.00483243726,0.7071689,-0.00498923426,-0.000439078,2.284876,-0.00546957,0,1
0.800,0.492236525,0,0,0,-0.000127930442,0.9390994,-0.217189848,0.706988752,0.007317789,0.707146466,-0.007565902,-0.000539881352,2.66865659,-0.00537320226,0,1
0.900,0.492331415,0,0,0,-0.000186328834,1.225149,-0.216792479,0.706944644,0.0108529264,0.7070966,-0.01122331,-0.000627597037,3.0500052,-0.00521357171,0,1
1.000,0.492366,0,0,0,-0.00025251304,1.54924452,-0.21828866,0.706955969,0.009438871,0.7071336,-0.009285931,-0.000746277859,3.42596149,-0.0152670424,0,1
1.100,0.4923786,0,0,0,-0.000317386439,1.91082072,-0.217906192,0.7071613,0.00629770849,0.7070057,-0.005125696,-0.000449936953,3.80215883,-0.005293248,0,1
1.200,0.492383152,0,0,0,-0.0003449673,2.30974936,-0.217515364,0.7071429,0.009124153,0.7069763,-0.00709214248,-0.000134315822,4.1740303,-0.00511734374,0,1
1.300,0.492384821,0,0,0,-0.000350519636,2.745678,-0.217142016,0.7070917,0.0140922973,0.706893861,-0.0111281984,8.420744E-06,4.541996,-0.00478094071,0,1
1.400,0.492385447,0,0,0,-0.00036070132,3.21812868,-0.218647182,0.7066452,0.008601003,0.7074749,-0.00760678947,-0.000397148076,4.90428543,0.00521494076,0,1
1.500,0.492385656,0,0,0,-0.000532983569,3.72656655,-0.218154863,0.7065195,0.004342682,0.7076799,-0.0007640845,-0.00315253227,5.262455,-0.005330203,0,1
1.600,0.492385745,0,0,0,-0.0009687883,4.27067471,-0.217761785,0.706464052,0.00625087833,0.707715631,-0.00283508655,-0.005518409,5.617349,-0.00512465462,0,1
1.700,0.492385775,0,0,0,-0.00162639632,4.850109,-0.217390031,0.706463039,0.009083337,0.707670331,-0.00548559753,-0.00758876652,5.96897745,-0.004793331,0,1
1.800,0.492385775,0,0,0,-0.00248217676,5.464489,-0.217045069,0.7064503,0.0122538712,0.7076127,-0.007881009,-0.0095147565,6.316154,-0.004404296,0,1
1.900,0.492385775,0,0,0,-0.003541472,6.1131897,-0.219108135,0.706358552,0.0162662081,0.707577765,-0.0112576056,-0.01182998,6.65773249,0.04091137,0,1
2.000,0.492385775,0,0,0,-0.004845983,6.79545641,-0.218226567,0.706074655,0.00621279655,0.7080997,-0.003843804,-0.0144919967,6.98942852,-0.004823069,0,1
2.100,0.492385775,0,0,0,-0.006437897,7.511138,-0.217872486,0.706050754,0.00796554051,0.7080991,-0.004961067,-0.0173053481,7.32180643,-0.00455704052,0,1
2.200,0.492385775,0,0,0,-0.00829965,8.259824,-0.2175478,0.7060478,0.0102694985,0.708055437,-0.006970948,-0.0198937766,7.64953041,-0.004120839,0,1
2.300,0.492385775,0,0,0,-0.0104139317,9.040993,-0.217255622,0.7060386,0.0128496662,0.7080006,-0.008907551,-0.0223855469,7.971311,-0.00363181438,0,1
2.400,0.492385775,0,0,0,-0.0127936238,9.853743,-0.2183287,0.7059503,0.01749103,0.70792377,-0.0131209334,-0.0253432,8.279548,-0.00259955972,0,1
2.500,0.492385775,0,0,0,-0.0154681532,10.6970615,-0.218069926,0.7055824,0.004618373,0.7085902,-0.00565133942,-0.0281055719,8.587009,-0.004417306,0,1
2.600,0.492385775,0,0,0,-0.01841493,11.5711145,-0.21772714,0.7056462,0.00272471015,0.708525,-0.00695418753,-0.0305852052,8.891599,-0.00445951149,0,1
2.700,0.492385775,0,0,0,-0.02154767,12.4754047,-0.217413843,0.7056509,0.004901925,0.708487153,-0.008871676,-0.031954065,9.191982,-0.0039174594,0,1
2.800,0.492385775,0,0,0,-0.0247849431,13.4094706,-0.217138857,0.705645263,0.006100146,0.7084605,-0.010548369,-0.0326821581,9.486987,-0.00345998351,0,1
2.900,0.492385775,0,0,0,-0.028064372,14.3727121,-0.216892943,0.705643654,0.0065719015,0.7084385,-0.0117793847,-0.0328087136,9.775638,-0.00312345754,0,1
3.000,0.5025381,0.6,0.006312718,0,-0.031309098,15.3643818,-0.216912434,0.7056133,0.0112783853,0.708305359,-0.0169114154,-0.03163162,10.0541477,-0.00168420188,0,1
3.100,0.818839431,0.6,0.005487465,0,-0.034323778,16.38969,-0.219869569,0.705625951,0.0138861481,0.708199859,-0.01876349,-0.0288480353,10.4972706,-0.0005699473,0,1
3.200,0.934026837,0.6,0.00359019265,0,-0.03715259,17.4694462,-0.219846934,0.705659747,0.0145635912,0.7081786,-0.0177572574,-0.0281185247,11.1126642,-3.421396E-05,0,1
3.300,0.97597456,0.6,0.00185589027,0,-0.0400238931,18.6138134,-0.219870225,0.705641747,0.0154269878,0.7081944,-0.017099902,-0.02967253,11.7777157,0.0006498848,0,1
3.400,0.9912507,0.6,0.0008063509,0,-0.04315531,19.8250275,-0.21995157,0.7055384,0.0163229331,0.7082777,-0.0170875546,-0.0332706422,12.4450359,0.00151216728,0,1
3.500,0.9968138,0.6,0.000380737329,0,-0.04673448,21.1021652,-0.220507547,0.7053639,0.017375771,0.7084092,-0.0177842453,-0.0385614932,13.0942945,0.002619265,0,1
3.600,0.9988397,0.6,0.000312583,0,-0.0509078838,22.4427738,-0.2217642,0.7051587,0.0188394189,0.70853883,-0.0192068089,-0.04506273,13.7131262,0.0040747216,0,1
3.700,0.999577463,0.6,0.000364247884,0,-0.05576573,23.843195,-0.2233528,0.704955339,0.0210149176,0.7086158,-0.0214473829,-0.0521346219,14.2883883,0.006024792,0,1
3.800,0.9998461,0.6,0.000393284165,0,-0.0613272749,25.2981148,-0.22572048,0.704771042,0.0242471024,0.708589,-0.0247262232,-0.0589972958,14.7993975,0.00865932,0,1
3.900,0.999944,0.6,0.000337285368,0,-0.06752373,26.7994213,-0.229143709,0.7046272,0.0289579239,0.708376348,-0.0294082966,-0.06463548,15.2090063,0.0121835526,0,1
4.000,0.9999796,0.6,0.000196430527,0,-0.07415952,28.3339233,-0.2338944,0.7045857,0.0356610678,0.7078076,-0.03599461,-0.06744678,15.4502268,0.0167011581,0,1
4.100,0.999992549,0.6,7.54328357E-05,0,-0.08082678,29.8794918,-0.24046883,0.7048029,0.0448669828,0.706548631,-0.04504415,-0.06469835,15.4076338,0.0218857266,0,1
4.200,0.9999973,0.6,0.000350614719,0,-0.08677635,31.39978,-0.248677388,0.705601335,0.056717962,0.704039037,-0.0569117963,-0.0523674935,14.9189882,0.0264573321,0,1
4.300,0.999999,0.6,0.00193583278,0,-0.09084179,32.843338,-0.258011281,0.707487,0.0703493357,0.699593663,-0.07128745,-0.026503928,13.8663616,0.0282355174,0,1
4.400,0.999999642,0.6,0.006205834,0,-0.0915717,34.1556358,-0.267144978,0.7109288,0.0836510956,0.69284,-0.08692273,0.0142864287,12.3296509,0.02590058,0,1
4.500,0.9999999,0.6,0.01542588,0,-0.0875287056,35.30302,-0.2766743,0.71499306,0.0925279856,0.68544215,-0.101944312,0.06981737,10.660161,0.0175247341,0,1
4.600,0.99999994,0.6,0.0487214848,0,-0.07533545,36.307148,-0.28161028,0.7075868,0.07694876,0.6924825,-0.117761374,0.187728211,9.51311,0.01291316,0,1
4.700,1,0.6,0.119938135,0,-0.0454510637,37.21834,-0.285762161,0.6993053,0.03755404,0.699648738,-0.141610265,0.435139924,8.777641,0.0112709031,0,1
4.800,1,0.6,0.120440364,0,0.0108055864,38.07146,-0.310196221,0.699735165,0.0354749337,0.6998715,-0.138896331,0.6504041,8.388368,-0.7341421,0,1
4.900,1,0.6,0.0775235146,0,0.07714046,38.9239922,-0.4110012,0.7061258,0.0442023948,0.698130548,-0.109756023,0.6573964,8.728173,-1.169758,0,1
5.000,1,0.6,0.0323436856,0,0.140779182,39.8212738,-0.536782444,0.7106779,0.06600911,0.6944016,-0.09157535,0.6132759,9.213588,-1.356593,0,1
5.100,1,0.6,0.00329899974,0,0.199565008,40.76436,-0.6873121,0.7125276,0.08857761,0.690406859,-0.08830003,0.5617073,9.633237,-1.68030131,0,1
5.200,1,0.6,-0.00821834151,0,0.2532815,41.7451439,-0.876933932,0.7126383,0.106314987,0.6868234,-0.09548431,0.517729163,9.969357,-2.12686872,0,1
5.300,1,0.6,-0.007584913,0,0.3037461,42.75581,-1.11496186,0.7129337,0.120603278,0.6821041,-0.109152757,0.494686365,10.23174,-2.64319968,0,0
5.400,1,0.6,-0.00326006254,0,0.35289523,43.7889481,-1.40730941,0.711891651,0.134781346,0.6776749,-0.125701979,0.49117142,10.4165154,-3.211497,0,0
5.500,1,0.6,-0.000285402,0,0.402335227,44.8358345,-1.75854754,0.709000766,0.150683612,0.6739113,-0.143024191,0.4982917,10.5046749,-3.81875086,0,0
5.600,1,0.6,0.0004654484,0,0.45250085,45.8865662,-2.17197561,0.704692066,0.168452159,0.6702569,-0.160587862,0.5040514,10.493742,-4.45337772,0,0
5.700,1,0.6,7.97908942E-05,0,0.502882659,46.9312973,-2.64972019,0.699483633,0.187518209,0.6660751,-0.178615525,0.502135038,10.3848457,-5.10284662,0,0
5.800,1,0.6,-0.0003379649,0,0.552654564,47.9602661,-3.192579,0.693621337,0.207348987,0.6610223,-0.197345778,0.492100835,10.1783457,-5.753248,0,0
5.900,1,0.6,-0.000379432138,0,0.601101935,48.96372,-3.79990673,0.6871095,0.227676153,0.6550232,-0.216769248,0.476030827,9.875307,-6.389897,0,0
6.000,1,0.6,-0.000162682118,0,0.6477268,49.93226,-4.46967554,0.6798564,0.248414755,0.648116767,-0.236706629,0.455890715,9.481036,-7.00003338,0,0
6.100,1,0.6,6.751087E-05,0,0.692174,50.8571129,-5.198646,0.6717746,0.269522518,0.6403491,-0.256962031,0.4325437,9.002618,-7.57215548,0,0
6.200,1,0.6,0.000173075037,0,0.7341326,51.7302361,-5.98249865,0.6628101,0.290930539,0.63173604,-0.277401924,0.4061102,8.448249,-8.096101,0,0
6.300,1,0.6,0.000153360976,0,0.7732928,52.5445137,-6.815972,0.6529322,0.3125392,0.6222718,-0.297954232,0.376585454,7.82698774,-8.563342,0,0
