# aircraft: FT Baby Blender v2.par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.009847716,0,0,0,6.74146E-15,1.969543E-07,-0.01149901,0.7071067,7.826012E-06,0.707106769,-7.826013E-06,-8.72775E-11,-0.00254984526,-0.007847995,0,1
0.100,0.316660047,0,0,0,-4.109434E-10,0.00309129758,-0.207023367,0.707106352,0.0007436587,0.7071064,-0.000743658049,-8.65700756E-09,0.102279991,-0.0056005884,0,1
0.200,0.4283918,0,0,0,4.05629841E-09,0.0267382432,-0.207004979,0.707104,0.00202953815,0.70710367,-0.00202953257,9.69546647E-08,0.386733025,-0.005585909,0,1
0.300,0.469081134,0,0,0,3.84054175E-08,0.08285366,-0.206787482,0.707096159,0.0039511025,0.7070954,-0.003951074,6.708952E-07,0.740070939,-0.00556064025,0,1
0.400,0.483898938,0,0,0,1.68343661E-07,0.175729156,-0.206571981,0.707077,0.00659662625,0.707075,-0.00659650937,2.12392933E-06,1.11770332,-0.005518345,0,1
0.500,0.489295125,0,0,0,5.22044559E-07,0.306839734,-0.206360921,0.707039058,0.009938534,0.7070348,-0.009938162,5.35712843E-06,1.503205,-0.00544931926,0,1
0.600,0.49126026,0,0,0,1.38947246E-06,0.476607561,-0.205956236,0.7069727,0.013988046,0.706964135,-0.0139868949,1.2897829E-05,1.89021242,-0.00533999875,0,1
0.700,0.4919759,0,0,0,3.32033665E-06,0.6850158,-0.2055616,0.7068775,0.01831191,0.7068618,-0.0183088761,2.72128054E-05,2.27564716,-0.005183354,0,1
0.800,0.492236525,0,0,0,7.281643E-06,0.9317885,-0.205180645,0.7067608,0.0225876756,0.7067313,-0.0225802232,5.51144039E-05,2.657189,-0.004975913,0,1
0.900,0.492331415,0,0,0,1.52265093E-05,1.21641839,-0.204817235,0.7066338,0.0265947059,0.706579745,-0.0265774187,0.000109435088,3.03245068,-0.00471842661,0,1
1.000,0.492366,0,0,0,3.06894581E-05,1.538149,-0.204474971,0.7065109,0.03018461,0.7064151,-0.0301473681,0.000209401027,3.39887738,-0.004416235,0,1
1.100,0.4923786,0,0,0,5.94814846E-05,1.895969,-0.204156786,0.7064053,0.03326659,0.7062458,-0.0331928842,0.0003804608,3.75395942,-0.0040787207,0,1
1.200,0.492383152,0,0,0,0.000110040404,2.288633,-0.203864917,0.7063278,0.0357925743,0.706079543,-0.03565854,0.0006485193,4.0955677,-0.00371820014,0,1
1.300,0.492384821,0,0,0,0.000193192842,2.71471453,-0.203600556,0.70628655,0.0377457924,0.705922663,-0.0375204124,0.00103552884,4.42226028,-0.00334850047,0,1
1.400,0.492385447,0,0,0,0.000321659725,3.172685,-0.203363821,0.7062862,0.0391321629,0.705779552,-0.03877861,0.001556357,4.73350143,-0.00298342574,0,1
1.500,0.492385656,0,0,0,0.0005091274,3.661016,-0.203153849,0.7063276,0.0399738662,0.7056536,-0.0394516662,0.00221527,5.029732,-0.0026354678,0,1
1.600,0.492385745,0,0,0,0.000769143458,4.17826653,-0.203169271,0.706408441,0.0403042547,0.7055471,-0.0395717621,0.00300518214,5.31228971,-0.00231495872,0,1
1.700,0.492385775,0,0,0,0.00111401675,4.723167,-0.203207463,0.7065239,0.0401642732,0.7054614,-0.03918073,0.003908712,5.583245,-0.002029724,0,1
1.800,0.492385775,0,0,0,0.00155390007,5.29468441,-0.203265235,0.706667244,0.0395998023,0.705396533,-0.0383266658,0.004900651,5.845154,-0.00178514235,0,1
1.900,0.492385775,0,0,0,0.00209618523,5.89205265,-0.20333986,0.706831038,0.0386602543,0.7053522,-0.0370613858,0.00595163461,6.100812,-0.00158454152,0,1
2.000,0.492385775,0,0,0,0.002745219,6.514788,-0.203627974,0.7070074,0.0373978578,0.7053268,-0.03543878,0.007030419,6.353019,-0.00142960157,0,1
2.100,0.492385775,0,0,0,0.00350220827,7.16267872,-0.203925923,0.7071886,0.0358677953,0.7053187,-0.0335138179,0.008105574,6.604374,-0.0013207728,0,1
2.200,0.492385775,0,0,0,0.00436523836,7.835757,-0.2040302,0.707367241,0.034128584,0.7053258,-0.0313422643,0.009145678,6.857118,-0.00125749083,0,1
2.300,0.492385775,0,0,0,0.00532915443,8.534255,-0.204337612,0.707537055,0.03224226,0.7053453,-0.0289803669,0.01011801,7.11301756,-0.00123822875,0,1
2.400,0.492385775,0,0,0,0.00638558948,9.258553,-0.204644874,0.7076929,0.0302744471,0.7053742,-0.0264846087,0.0109907035,7.373279,-0.00126037607,0,1
2.500,0.492385775,0,0,0,0.007522959,10.0091219,-0.204748511,0.7078309,0.028293401,0.7054098,-0.0239108317,0.0117311142,7.63851547,-0.00132002076,0,1
2.600,0.492385775,0,0,0,0.008726375,10.7864685,-0.205046684,0.707948864,0.0263683051,0.705449343,-0.0213125963,0.0123061063,7.90875244,-0.00141174672,0,1
2.700,0.492385775,0,0,0,0.009977543,11.591074,-0.205337435,0.7080453,0.0245663933,0.7054908,-0.0187386312,0.0126796784,8.183489,-0.00152859,0,1
2.800,0.492385775,0,0,0,0.0112544792,12.42334,-0.205417722,0.7081201,0.0229492933,0.705532253,-0.0162294768,0.0128150815,8.461794,-0.00166231254,0,1
2.900,0.492385775,0,0,0,0.0125313355,13.2835684,-0.205688491,0.7081746,0.0215693675,0.705572546,-0.0138142537,0.0126710236,8.742448,-0.00180401374,0,1
3.000,0.5025381,0.6,-0.0100474032,0,0.0137780886,14.1719265,-0.205747932,0.708209634,0.0204774179,0.7056111,-0.0115201641,0.012205502,9.024285,-0.0019414681,0,1
3.100,0.818839431,0.6,-0.009444172,0,0.0149494624,15.0951319,-0.205416217,0.7078997,0.0266037863,0.705576,-0.0182377789,0.0107567282,9.481772,0.0109577887,0,1
3.200,0.934026837,0.6,-0.006178003,0,0.01583719,16.0705452,-0.213413656,0.707147241,0.0383330658,0.7052613,-0.0328630134,0.00707984343,10.022191,-0.222362876,0,1
3.300,0.97597456,0.6,-0.00282588741,0,0.0163613018,17.098362,-0.2571534,0.7059664,0.0504323766,0.704820156,-0.0479219742,0.003923479,10.5271482,-0.669916868,0,1
3.400,0.9912507,0.6,-0.000709847,0,0.016693024,18.17419,-0.349973977,0.704389334,0.0640766844,0.7040622,-0.06345227,0.002882824,10.9780521,-1.19857848,0,1
3.500,0.9968138,0.6,0.000202294977,0,0.01695251,19.291214,-0.499435633,0.7024883,0.08003298,0.702615,-0.08023093,0.002335046,11.3462038,-1.80377567,0,1
3.600,0.9988397,0.6,0.000420466851,0,0.0171664972,20.43992,-0.713230669,0.700167954,0.097945936,0.7003583,-0.098333925,0.00199330784,11.6095495,-2.48354554,0,1
3.700,0.999577463,0.6,0.0003673996,0,0.0173637252,21.6092587,-0.998140752,0.697251141,0.117323,0.6973067,-0.11764171,0.0020188943,11.7573643,-3.22310734,0,0
3.800,0.9998461,0.6,0.000248687284,0,0.0175815355,22.7873363,-1.359229,0.693574667,0.13782616,0.693477333,-0.138011843,0.00237401784,11.7837114,-4.00396061,0,0
3.900,0.999944,0.6,0.000133565365,0,0.0178409163,23.96185,-1.79967284,0.68903476,0.1592168,0.6888475,-0.159280673,0.00280183041,11.6856556,-4.806996,0,0
4.000,0.9999796,0.6,4.380062E-05,0,0.0181362163,25.1203327,-2.32072544,0.683580339,0.181298882,0.6833651,-0.181275412,0.00306542218,11.46362,-5.612964,0,0
4.100,0.999992549,0.6,-1.15301455E-05,0,0.018445937,26.2505589,-2.92173958,0.6771857,0.203901976,0.676976442,-0.2038295,0.00309193414,11.1215687,-6.403223,0,0
4.200,0.9999973,0.6,-3.28501737E-05,0,0.0187487248,27.3408642,-3.600262,0.6698332,0.22687842,0.6696393,-0.226788282,0.00294321,10.666296,-7.16034174,0,0
4.300,0.999999,0.6,-3.04236983E-05,0,0.0190320946,28.380352,-4.35218,0.661506653,0.25010103,0.6613264,-0.250011474,0.0027186072,10.107029,-7.868702,0,0
4.400,0.999999642,0.6,-1.744859E-05,0,0.0192922,29.3591728,-5.17193031,0.6521917,0.273459822,0.652020633,-0.273376524,0.00248519238,9.454928,-8.514992,0,0
4.500,0.9999999,0.6,-4.738568E-06,0,0.0195296332,30.268652,-6.05274963,0.6418751,0.296860576,0.6417095,-0.296781152,0.00226588035,8.722506,-9.088521,0,0
4.600,0.99999994,0.6,2.62897265E-06,0,0.0197456628,31.101429,-6.98693848,0.6305439,0.320222646,0.6303817,-0.320141882,0.00205500517,7.92298174,-9.581294,0,0
4.700,1,0.6,4.754457E-06,0,0.0199405085,31.85146,-7.9661355,0.6181824,0.343480021,0.618023038,-0.343393952,0.0018404962,7.069706,-9.987997,0,0
4.800,1,0.6,4.33855848E-06,0,0.0201133955,32.5140228,-8.981573,0.604770541,0.366581231,0.6046134,-0.366488,0.00161535072,6.17562246,-10.3058338,0,0
4.900,1,0.6,2.69555244E-06,0,0.0202632044,33.0856361,-10.0243187,0.5902777,0.389490634,0.5901229,-0.3893896,0.00137916359,5.252788,-10.5342646,0,0
5.000,1,0.6,5.18440629E-07,0,0.02038893,33.5639839,-11.08549,0.574661851,0.412183672,0.574510455,-0.4120753,0.00113413052,4.31200266,-10.67467,0,0
5.100,1,0.6,-2.04736284E-06,0,0.0204898287,33.9477539,-12.156415,0.5578659,0.434646279,0.557719231,-0.43453145,0.000883303059,3.3625524,-10.7299452,0,0
5.200,1,0.6,-7.73676959E-07,0,0.0205655787,34.236454,-13.2287741,0.5398161,0.456869841,0.539674163,-0.456749648,0.000632033159,2.412005,-10.7040873,0,0
5.300,1,0.59639436,-2.19415739E-07,0,0.0206163432,34.4303,-14.2946873,0.5204198,0.4788471,0.520283163,-0.47872135,0.000383621576,1.466114,-10.60177,0,0
5.400,1,0.580504954,0,0,0.0206423961,34.5300522,-15.3467617,0.500065267,0.5000653,0.4999346,-0.499934644,0.000138320131,0.532035053,-10.4284544,0,0
5.500,1,0.56699276,-0.4,0,0.021482924,34.5375862,-16.37823,-0.4474484,-0.4912145,-0.5067495,0.5492751,0.0321853273,-0.375332683,-10.1895609,0,0
5.600,1,0.5559578,-0.4,0,0.0318825729,34.4568329,-17.3825,-0.355626822,-0.443737149,-0.5384071,0.621888041,0.2042802,-1.2267741,-9.886341,0,0
5.700,1,0.546984851,-0.4,0,0.06828504,34.29538,-18.3539524,-0.2428245,-0.374349415,-0.567889035,0.691665232,0.5537521,-1.98408747,-9.536591,0,0
5.800,1,0.539648354,-0.4,0,0.1485202,34.0641136,-19.2888279,-0.117848977,-0.2906948,-0.5855834,0.7474626,1.07932234,-2.6178236,-9.156914,0,0
5.900,1,0.533871531,-0.4,0,0.2893992,33.7771072,-20.18452,0.0139931142,-0.198354572,-0.5884532,0.783698,1.76123309,-3.09189916,-8.751153,0,0
6.000,1,0.5298446,-0.4,0,0.5045535,33.4525032,-21.0380268,0.148647279,-0.102221876,-0.5757277,0.7974913,2.55624437,-3.36376548,-8.315352,0,0
6.100,1,0.52705574,-0.4,0,0.802502334,33.1120262,-21.8472061,0.2823363,-0.006572813,-0.5474799,0.7877238,3.40657163,-3.4061563,-7.868272,0,0
6.200,1,0.524742365,-0.4,0,1.18548667,32.77924,-22.6121521,0.411215067,0.08500831,-0.5043527,0.7545224,4.245322,-3.21018434,-7.43541,0,0
6.300,1,0.521946669,-0.4,0,1.64881945,32.4774857,-23.3357639,0.5313935,0.169629246,-0.447610617,0.6989216,5.00177431,-2.79015422,-7.046873,0,0
6.400,1,0.517599165,-0.4,0,2.180853,32.22727,-24.0240669,0.6391231,0.2450579,-0.379185379,0.622644961,5.60912752,-2.18900728,-6.73431826,0,0
6.500,1,0.510690749,-0.4,0,2.7639575,32.043293,-24.6860981,0.7310198,0.309693962,-0.301644534,0.52793014,6.016931,-1.48006308,-6.52524042,0,0
6.600,1,0.500510752,-0.4,0,3.37686872,31.931633,-25.3331165,0.8042609,0.36251685,-0.218081474,0.417356372,6.205025,-0.759961247,-6.435541,0,0
6.700,1,0.4868706,-0.4,0,3.99823332,31.8882179,-25.9771347,0.85670495,0.402984679,-0.131939232,0.293686956,6.19259644,-0.131969675,-6.46309233,0,0
6.800,1,0.470226,-0.323992461,0,4.6105876,31.8992,-26.62891,0.886816561,0.430858,-0.0470589027,0.1603218,6.03707361,0.315854847,-6.58509159,0,0
6.900,1,0.451910615,-0.1290254,0,5.20353031,31.9439182,-27.2957039,0.893387735,0.446777374,0.0227982551,0.0415765047,5.816088,0.543245137,-6.751466,0,0
7.000,1,0.4335793,0.000406289473,0,5.773439,32.00207,-27.9787769,0.8864592,0.457342148,0.06263546,-0.0332425348,5.582207,0.5976726,-6.90697861,0,0
7.100,1,0.4154622,0.0632261559,0,6.320007,32.06027,-28.6765213,0.87797457,0.46843338,0.07432553,-0.06485873,5.34909058,0.5556794,-7.04560375,0,0
7.200,1,0.3974812,0.0777043253,0,6.843239,32.11195,-29.38745,0.8715621,0.480968535,0.0676672,-0.0668566,5.11564541,0.475280136,-7.170943,0,0
7.300,1,0.379619479,0.06449439,0,7.34320736,32.1553,-30.1103134,0.866252959,0.49386692,0.0530665,-0.05371459,4.884292,0.3936252,-7.28433561,0,0
7.400,1,0.361955345,0.0401257724,0,7.82019758,32.1912537,-30.84387,0.860749066,0.5062821,0.03823146,-0.0364390835,4.65548229,0.3291186,-7.383881,0,0
7.500,1,0.344695419,0.0156453438,0,8.274266,32.22185,-31.58641,0.85469383,0.5179554,0.0273619946,-0.0217244271,4.42582941,0.286571354,-7.46392632,0,0
7.600,1,0.327782869,-0.00281141559,0,8.705394,32.2492065,-32.336113,0.848303735,0.52891773,0.0216830671,-0.012514594,4.19707632,0.2632515,-7.527667,0,0
7.700,1,0.311162531,-0.0130165443,0,9.113788,32.2749367,-33.0915,0.8418443,0.539255,0.0204992425,-0.0090515,3.97155523,0.252714634,-7.577904,0,0
7.800,1,0.294812918,-0.0155784283,0,9.499876,32.29994,-33.8513031,0.8354405,0.5490402,0.0222290717,-0.009986084,3.75114632,0.247941062,-7.61617661,0,0
7.900,1,0.27873376,-0.0127812233,0,9.864224,32.3245277,-34.61437,0.829125762,0.5583349,0.02517956,-0.0133572938,3.53688431,0.243456,-7.64324665,0,0
8.000,1,0.262962639,-0.00743921334,0,10.2074566,32.3485374,-35.37955,0.822919846,0.567201734,0.0280137956,-0.01732842,3.328831,0.236189544,-7.65862036,0,0
8.100,1,0.247490689,-0.00199089013,0,10.5302124,32.37164,-36.1457443,0.816853642,0.575697958,0.0299454331,-0.0206176434,3.12743068,0.225388557,-7.66336632,0,0
8.200,1,0.232294783,0.002006643,0,10.8331776,32.39352,-36.9119453,0.810954,0.5838644,0.0307261348,-0.0226270743,2.93307376,0.211825117,-7.658919,0,0
8.300,1,0.217358008,0.00397282559,0,11.1170664,32.4139633,-37.6772728,0.805229366,0.591717958,0.0305068716,-0.0233431142,2.74594617,0.196902156,-7.64642429,0,0
8.400,1,0.202667624,0.00410045,0,11.3826065,32.4329033,-38.44099,0.7996705,0.5992608,0.0296519771,-0.0231176559,2.56608415,0.181964517,-7.626798,0,0
8.500,1,0.188216776,0.00301690772,0,11.6305218,32.45039,-39.2024231,0.7942641,0.606486142,0.0285672545,-0.0224326421,2.39341927,0.1679264,-7.600711,0,0
8.600,1,0.174001336,0.00145284634,0,11.8615236,32.4665337,-39.9609375,0.788998246,0.6133918,0.0275792982,-0.021718571,2.22786379,0.155189887,-7.56873,0,0
8.700,1,0.160007656,7.28152145E-06,0,12.0763273,32.481472,-40.7159958,0.7838699,0.6199788,0.02687795,-0.0212551,2.0694,0.143752068,-7.53167152,0,0
8.800,1,0.146222949,-0.000964285049,0,12.2756376,32.4953232,-41.46713,0.7788792,0.6262562,0.0265138485,-0.0211499389,1.91797793,0.133373812,-7.49026966,0,0
