# aircraft: SF260.par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.009847716,0,0,0,5.39316762E-15,1.57563449E-07,-0.01242484,0.7071067,-1.89815114E-06,0.707106769,1.89815125E-06,-7.895526E-11,-0.00230670767,-0.0111833941,0,1
0.100,0.316660047,0,0,0,1.07138895E-10,0.00247985614,-0.235031888,0.7071067,-9.682555E-05,0.707106769,9.682557E-05,5.23973753E-09,0.08191381,-0.00712333247,0,1
0.200,0.4283918,0,0,0,1.88536387E-09,0.0214029551,-0.235657588,0.7071065,-0.00083336496,0.7071061,0.0008333649,8.236366E-08,0.309385538,-0.00712703541,0,1
0.300,0.469081134,0,0,0,9.11113744E-08,0.06628812,-0.235588685,0.707107544,-0.00131158275,0.70710355,0.00131157984,2.20104062E-06,0.591905,-0.00712786056,0,1
0.400,0.483898938,0,0,0,6.06708738E-07,0.140569672,-0.23552,0.7071102,-0.00148962473,0.7071002,0.00148960925,8.927282E-06,0.8939455,-0.00712413341,0,1
0.500,0.489295125,0,0,0,2.033489E-06,0.245444924,-0.2354514,0.707113445,-0.0016701225,0.707096159,0.00167008722,2.06114655E-05,1.20254743,-0.00711834058,0,1
0.600,0.49126026,0,0,0,4.99867656E-06,0.381293476,-0.235383332,0.7071171,-0.00209169625,0.707090259,0.002091627,4.000606E-05,1.51295924,-0.00711275265,0,1
0.700,0.4919759,0,0,0,1.04766668E-05,0.5481903,-0.2351148,0.7071124,-0.004846467,0.707067966,0.00484623,7.281687E-05,1.82330215,-0.007129533,0,1
0.800,0.492236525,0,0,0,2.051226E-05,0.7460787,-0.23484534,0.7070936,-0.008535603,0.707017,0.008534824,0.000134105518,2.13268971,-0.007159656,0,1
0.900,0.492331415,0,0,0,3.856522E-05,0.974843442,-0.234574884,0.7070983,-0.009471527,0.7069884,0.009469967,0.000231941667,2.440839,-0.00716299564,0,1
1.000,0.492366,0,0,0,6.77436E-05,1.23437488,-0.234520227,0.7071433,-0.00682199933,0.7070044,0.0068198056,0.000354839751,2.74809837,-0.00712023862,0,1
1.100,0.4923786,0,0,0,0.000110688052,1.52459359,-0.234653652,0.707164049,-0.00724118156,0.7069754,0.0072372905,0.000513455248,3.054508,-0.00711199269,0,1
1.200,0.492383152,0,0,0,0.000172346932,1.84538627,-0.234385431,0.707176745,-0.008196813,0.706941843,0.008190698,0.000725958031,3.35955381,-0.007114487,0,1
1.300,0.492384821,0,0,0,0.0002565965,2.19662547,-0.2347552,0.707211256,-0.00646981969,0.706943154,0.006462195,0.000960843638,3.663497,-0.00707173161,0,1
1.400,0.492385447,0,0,0,0.000365672953,2.57820082,-0.234488308,0.7072194,-0.008050618,0.7069025,0.008039823,0.00122808118,3.966197,-0.00708376244,0,1
1.500,0.492385656,0,0,0,0.00050332275,2.98997164,-0.234221458,0.707244456,-0.007247381,0.706894934,0.007234279,0.0015265469,4.267451,-0.00705382042,0,1
1.600,0.492385745,0,0,0,0.000671358663,3.43181062,-0.234600037,0.7072644,-0.007149768,0.706876934,0.00713369856,0.00183827,4.56755257,-0.007031666,0,1
1.700,0.492385775,0,0,0,0.000872311,3.90358138,-0.234334514,0.7072747,-0.007973448,0.706849158,0.007953399,0.00218444271,4.86603642,-0.00703404658,0,1
1.800,0.492385775,0,0,0,0.00110859831,4.405131,-0.234714538,0.7073027,-0.00657291,0.706849933,0.006550073,0.00254121725,5.163212,-0.00697855465,0,1
1.900,0.492385775,0,0,0,0.00138149329,4.936327,-0.234451026,0.7073069,-0.008114471,0.7068137,0.008086008,0.00292197941,5.458848,-0.006999353,0,1
