# aircraft: SF260 - kopie.par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.009847716,0,0,0,5.39316762E-15,1.57563449E-07,-0.01242484,0.7071067,-1.95377515E-06,0.707106769,1.95377538E-06,-7.895526E-11,-0.002306708,-0.0111833941,0,1
0.100,0.316660047,0,0,0,1.85196122E-10,0.00247968431,-0.234986171,0.7071064,-0.0007714567,0.7071063,0.000771455641,4.13878425E-08,0.081904456,-0.00712673925,0,1
0.200,0.4283918,0,0,0,3.97341751E-08,0.021396419,-0.235394031,0.7070902,-0.005074021,0.707087,0.005074012,1.21538176E-06,0.30921188,-0.007156661,0,1
0.300,0.469081134,0,0,0,4.102644E-07,0.0662363544,-0.235123008,0.7070113,-0.01199365,0.706998765,0.0119934883,7.340938E-06,0.591037333,-0.00721166655,0,1
0.400,0.483898938,0,0,0,1.60997479E-06,0.140362114,-0.238394976,0.7069377,-0.0151430229,0.7069508,0.0151786758,7.757724E-06,0.8915929,-0.007239843,0,1
0.500,0.489295125,0,0,0,-1.24717729E-07,0.244928256,-0.238122284,0.706959367,-0.0134676229,0.706995368,0.0135847237,-4.39358118E-05,1.198728,-0.007224813,0,1
0.600,0.49126026,0,0,0,-6.53117877E-06,0.3803421,-0.237717882,0.7069937,-0.0116112968,0.7070258,0.0118223857,-7.992033E-05,1.50728011,-0.0148781743,0,1
0.700,0.4919759,0,0,0,-2.1474003E-05,0.546788335,-0.236269861,0.707035661,-0.00579679431,0.707126737,0.00622491771,-0.000255110062,1.81765473,-0.00714223832,0,1
0.800,0.492236525,0,0,0,-3.98064658E-05,0.744110942,-0.235971481,0.7071416,-0.009991428,0.706929,0.0101080257,-0.0001923856,2.12691379,-0.007691783,0,1
0.900,0.492331415,0,0,0,-2.016598E-05,0.972293854,-0.235701576,0.707467556,-0.00969662052,0.706601858,0.0104583669,0.000707513653,2.43496585,-0.007170166,0,1
1.000,0.492366,0,0,0,0.000118981618,1.231226,-0.23543112,0.7075591,-0.0108646378,0.706475854,0.0115797892,0.002077517,2.7418673,-0.007176469,0,1
1.100,0.4923786,0,0,0,0.000390355155,1.52077115,-0.23515977,0.707534254,-0.0142571842,0.7063906,0.0142931035,0.00333416136,3.04712319,-0.00721184444,0,1
1.200,0.492383152,0,0,0,0.000775142,1.84074819,-0.2376328,0.707559645,-0.0135758845,0.706393361,0.0135421008,0.00431727944,3.35065579,-0.007198301,0,1
1.300,0.492384821,0,0,0,0.00124961068,2.191032,-0.237361938,0.707598865,-0.01188889,0.7064129,0.011973178,0.00515345,3.65328979,-0.00716540869,0,1
1.400,0.492385447,0,0,0,0.00180358428,2.5716095,-0.236204669,0.7076434,-0.008456735,0.706468344,0.008475976,0.005913503,3.95505166,-0.009301066,0,1
1.500,0.492385656,0,0,0,0.002426678,2.98228121,-0.23593992,0.7075903,-0.0103403786,0.706473351,0.0102266967,0.00651650457,4.256309,-0.00711361133,0,1
1.600,0.492385745,0,0,0,0.003104068,3.42296219,-0.2356717,0.7075609,-0.0108678928,0.7064928,0.0103654787,0.007012637,4.55548429,-0.007109005,0,1
