# aircraft: SF260 - micro.par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.009847716,0,0,0,7.415605E-15,2.16649738E-07,-0.00267984159,0.7071067,-9.569179E-06,0.707106769,9.56918E-06,-5.975962E-10,-0.0174590051,-0.008436596,0,1
0.100,0.316660047,0,0,0,2.586527E-06,0.000254792161,-0.0405170768,0.7071073,-0.000471577572,0.707106054,0.000388897344,-0.00126743317,0.0004852116,-0.005902311,0,1
0.200,0.4283918,0,0,0,-5.26551958E-08,0.00107395928,-0.04032503,0.7070919,-0.00486308662,0.707089841,0.00462973164,0.000144767575,0.00893747248,-0.005934758,0,1
0.300,0.469081134,0,0,0,6.837745E-07,0.00276020984,-0.04012863,0.7069401,-0.0154974936,0.706939161,0.015252023,0.001540998,0.015126395,-0.006031502,0,1
0.400,0.483898938,0,0,0,8.32468231E-07,0.005044641,-0.0420089327,0.706375957,-0.03229546,0.7063752,0.0320013054,0.002247721,0.0218358338,-0.00618688576,0,1
0.500,0.489295125,0,0,0,3.1493084E-05,0.00727961957,-0.0452532731,0.7056132,-0.04602668,0.705617547,0.0457777642,0.00206821365,0.00076109264,-0.00632187165,0,1
0.600,0.49126026,0,0,0,2.86578634E-05,0.007735387,-0.0448354781,0.7058422,-0.04227209,0.705851257,0.0421174467,0.002763208,-0.0010337308,-0.00628944859,0,1
0.700,0.4919759,0,0,0,2.24241358E-05,0.008399005,-0.04441954,0.705893,-0.0413101725,0.705905139,0.0413098037,0.000208479818,0.00510686,-0.006278664,0,1
0.800,0.492236525,0,0,0,1.7730541E-05,0.009378302,-0.04481229,0.705741,-0.0436736532,0.705767155,0.0437608846,0.00238877721,-0.000416288152,-0.00630071945,0,1
0.900,0.492331415,0,0,0,1.1323641E-05,0.0100582121,-0.0445956923,0.70577836,-0.0429384522,0.705809534,0.0431984626,0.000144316815,0.00517931674,-0.00629271939,0,1
