# aircraft: Slope soarer.par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.009847716,0,0,0,0,0,-0.0024156752,0.7071067,0,0.707106769,0,0,0,-0.0074555967,0,1
0.100,0.316660047,0,0,0,2.44152943E-06,-0.0003387872,-0.0452683158,0.707101464,0.00227745483,0.7071047,-0.00227838825,-0.00311783631,-0.00660883076,-0.00540253147,0,1
0.200,0.4283918,0,0,0,-1.977961E-06,-0.0007419682,-0.044827614,0.707087934,0.005341682,0.7070852,-0.00534410169,-0.0040772045,-0.003965289,-0.00540255569,0,1
0.300,0.469081134,0,0,0,2.72452635E-05,-0.00114412024,-0.0441714339,0.707086563,0.008653247,0.707021236,-0.008635029,0.02353328,-0.00638791639,-0.003561765,0,1
0.400,0.483898938,0,0,0,0.000293917052,-0.001980712,-0.040720664,0.7070045,0.0159903113,0.7068476,-0.0159821957,-0.036551,-0.0092717,-0.0100551285,0,1
0.500,0.489295125,0,0,0,-0.000238337147,-0.00200841762,-0.0402675644,0.7080483,0.015871387,0.7058057,-0.01593496,-0.00206751167,-0.006796033,-0.00540253334,0,1
0.600,0.49126026,0,0,0,-0.0003142229,-0.00230653351,-0.0398268625,0.708085835,0.015896013,0.7057672,-0.0159481019,-0.00142325822,-0.00695084827,-0.00540251471,0,1
0.700,0.4919759,0,0,0,-0.0003668625,-0.002608782,-0.03938616,0.708078742,0.0159058813,0.705774069,-0.0159502011,-0.00100319646,-0.00701430766,-0.00540251471,0,1
0.800,0.492236525,0,0,0,-0.000402585662,-0.00291255023,-0.03894546,0.7080741,0.0159025043,0.705779,-0.0159424134,-0.0006612092,-0.007045294,-0.00540251471,0,1
0.900,0.492331415,0,0,0,-0.000426858081,-0.00321653,-0.038504757,0.7080728,0.0158878565,0.7057811,-0.0159239229,-0.000457232381,-0.00705205137,-0.00540251471,0,1
1.000,0.492366,0,0,0,-0.0004428594,-0.00352012087,-0.0384649,0.708072662,0.0158611685,0.7057824,-0.0158954989,-0.000295841746,-0.00705128955,-0.00540251471,0,1
