# aircraft: Xtra.par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.009847716,0,0,0,1.39022069E-14,4.0615825E-07,-0.0143738156,0.7071067,-7.96187635E-07,0.707106769,7.961877E-07,-2.97494529E-11,-0.000869141542,-0.005885996,0,1
0.100,0.316660047,0,0,0,-6.80266565E-10,0.0123284273,-0.3393143,0.707103848,0.002015059,0.7071039,-0.00201505329,-3.10961767E-09,0.347290248,-0.004509425,0,1
0.200,0.4283918,0,0,0,1.868917E-08,0.08226538,-0.3384319,0.7070664,0.007591603,0.707065642,-0.007591572,7.098024E-07,1.08742785,0.004533667,0,1
0.300,0.469081134,0,0,0,2.60053184E-07,0.234515324,-0.3350713,0.706900537,0.01730085,0.7068897,-0.0173006132,7.25637756E-06,1.97047746,0.06570825,0,1
0.400,0.483898938,0,0,0,3.75046488E-06,0.477639228,-0.3271437,0.7063556,0.03330754,0.706288338,-0.0333057,8.473557E-05,2.89979124,0.204146564,0,1
0.500,0.489295125,0,0,0,2.39860856E-05,0.8130136,-0.318374455,0.705331266,0.0514611751,0.7051326,-0.0514535867,0.00036647878,3.80344844,-0.00778452028,0,1
0.600,0.49126026,0,0,0,8.93851247E-05,1.23771191,-0.3095887,0.704205,0.06620266,0.7037984,-0.06618423,0.00100932538,4.669399,-0.00971970148,0,1
0.700,0.4919759,0,0,0,0.0002419753,1.74543512,-0.304225475,0.703599036,0.07362611,0.70293045,-0.0735953748,0.00212365622,5.4707427,0.06723095,0,1
0.800,0.492236525,0,0,0,0.0005251716,2.32975984,-0.303625643,0.703794062,0.07308047,0.702752531,-0.07397248,0.00383275538,6.21142673,-0.00162648782,0,1
0.900,0.492331415,0,0,0,0.00106428564,2.98628187,-0.303460956,0.7041638,0.07148623,0.702640057,-0.07307648,0.007183661,6.911513,-0.00121487211,0,1
1.000,0.492366,0,0,0,0.002009616,3.71074748,-0.30394733,0.704631448,0.0694897249,0.7025339,-0.07149741,0.0119615039,7.571458,-0.000823329436,0,1
1.100,0.4923786,0,0,0,0.003503891,4.499504,-0.3052799,0.7051582,0.06702462,0.70245856,-0.06936666,0.01815618,8.198846,-0.00046283775,0,1
1.200,0.492383152,0,0,0,0.005686385,5.34975243,-0.307058722,0.7057144,0.0640817061,0.70242697,-0.06676195,0.02571577,8.803025,-0.000141270575,0,1
1.300,0.492384821,0,0,0,0.008690415,6.25968647,-0.308872551,0.7062772,0.0606792532,0.7024442,-0.0637389,0.03457588,9.394413,0.000135909708,0,1
1.400,0.492385447,0,0,0,0.01264274,7.228563,-0.310916334,0.7068296,0.05684707,0.7025088,-0.06034567,0.04466896,9.98324,0.0003640682,0,1
1.500,0.492385656,0,0,0,0.01763259,8.25629,-0.313193351,0.707383752,0.05261884,0.7025893,-0.0566381142,0.0551403873,10.5716648,0.000532476464,0,1
1.600,0.492385745,0,0,0,0.023718128,9.343052,-0.315690458,0.7079524,0.0480418652,0.7026523,-0.0526813045,0.06683915,11.1651764,0.000633876538,0,1
1.700,0.492385775,0,0,0,0.0310542136,10.4896994,-0.317990243,0.7084744,0.04318361,0.702739954,-0.04853683,0.08014746,11.7703524,0.0006631587,0,1
1.800,0.492385775,0,0,0,0.0397893,11.6976786,-0.3221107,0.708839536,0.03887642,0.703062654,-0.0416890681,0.09418519,12.3933849,0.0005295146,0,1
1.900,0.492385775,0,0,0,0.049471695,12.9696875,-0.3237715,0.708847463,0.0372010246,0.7036174,-0.032770887,0.09765579,13.0509872,0.000307759154,0,1
2.000,0.492385775,0,0,0,0.05913996,14.3085184,-0.3278389,0.709182441,0.0332087055,0.703708351,-0.0274223182,0.0954487547,13.7288237,9.99623153E-05,0,1
2.100,0.492385775,0,0,0,0.06885293,15.7164764,-0.32902506,0.70991534,0.0233484376,0.7034333,-0.0256307051,0.101034194,14.43531,-0.000409199623,0,1
2.200,0.492385775,0,0,0,0.0795831,17.19609,-0.330973,0.710217953,0.018216148,0.703373551,-0.0228959434,0.114064224,15.1587372,-0.0007266507,0,1
