# aircraft: Xtra 3D.par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.0157563463,0,0,0,2.31801E-14,6.77215439E-07,-0.0143738156,0.7071067,-6.62515561E-07,0.707106769,6.62515731E-07,-2.04715533E-11,-0.0005980843,-0.005885996,0,1
0.100,0.398640662,0,0,0,-1.81850335E-09,0.01914039,-0.3376144,0.707078457,0.006335226,0.707078338,-0.00633521751,-1.28092523E-08,0.5097626,-0.02374208,0,1
0.200,0.473947674,0,0,0,5.66075471E-08,0.1147332,-0.331019819,0.706418633,0.03131718,0.706407368,-0.0313167,3.97294934E-06,1.42350686,0.108025663,0,1
0.300,0.4887593,0,0,0,5.611469E-06,0.3052677,-0.313781768,0.7034637,0.07253474,0.703291357,-0.07251858,0.000182246629,2.38762951,0.3402838,0,1
0.400,0.491672516,0,0,0,-8.57866544E-05,0.588587165,-0.304706454,0.701949,0.07234379,0.704788446,-0.0728509,-0.00342665752,3.280715,-0.0306688845,0,1
0.500,0.4922455,0,0,0,-0.000796026143,0.9606708,-0.302981347,0.7010952,0.0749767,0.705100536,-0.07534732,-0.0110124107,4.14941931,-0.00234669074,0,1
0.600,0.4923582,0,0,0,-0.0023095957,1.41662574,-0.302737534,0.7007927,0.0752667561,0.705320656,-0.07581126,-0.0192181952,4.958307,-0.00184289739,0,1
0.700,0.492380351,0,0,0,-0.004623138,1.950119,-0.302987576,0.70073086,0.07557253,0.7053943,-0.0753922,-0.0269839074,5.700011,-0.00131488778,0,1
0.800,0.492384732,0,0,0,-0.00766183436,2.55439377,-0.302827656,0.7008071,0.0747517049,0.7053806,-0.07562847,-0.03343946,6.374001,-0.000782107469,0,1
0.900,0.492385566,0,0,0,-0.0112464605,3.22282338,-0.3027677,0.7009307,0.07398024,0.7053449,-0.07557605,-0.03794684,6.983886,-0.00026001723,0,1
1.000,0.492385745,0,0,0,-0.01519234,3.9490087,-0.302768528,0.7010935,0.0734934658,0.7052505,-0.07542082,-0.0407045223,7.52951241,0.000248524651,0,1
1.100,0.492385775,0,0,0,-0.0193392038,4.726811,-0.302825928,0.701316535,0.07273902,0.7051722,-0.07480865,-0.0420163646,8.017869,0.00070988317,0,1
1.200,0.492385775,0,0,0,-0.0235563032,5.550983,-0.30293417,0.701581955,0.07171794,0.7051147,-0.07384222,-0.0421505645,8.458715,0.00112141389,0,1
1.300,0.492385775,0,0,0,-0.0277375728,6.41727829,-0.303287685,0.701875,0.07045081,0.7050806,-0.07259115,-0.041334942,8.862057,0.00148488628,0,1
1.400,0.492385775,0,0,0,-0.0317979343,7.32243252,-0.304283231,0.7021853,0.06896453,0.7050699,-0.07110551,-0.0397616439,9.237501,0.00180471269,0,1
1.500,0.492385775,0,0,0,-0.0356697962,8.264104,-0.305315048,0.70250535,0.06728576,0.7050809,-0.06942296,-0.03758895,9.593873,0.00208655326,0,1
1.600,0.492385775,0,0,0,-0.0392998047,9.240791,-0.306376159,0.7028304,0.06543819,0.705110669,-0.06757275,-0.03494317,9.93911,0.00233632373,0,1
1.700,0.492385775,0,0,0,-0.0426457673,10.2517395,-0.307464659,0.70316267,0.0634413138,0.705150366,-0.06557857,-0.0319225974,10.280283,0.00255964324,0,1
1.800,0.492385775,0,0,0,-0.04567072,11.2968664,-0.30877918,0.7035345,0.0613055,0.7051617,-0.06346559,-0.0284981281,10.6236668,0.00276142359,0,1
1.900,0.492385775,0,0,0,-0.0483289063,12.3766775,-0.310117722,0.7039039,0.05904789,0.705181956,-0.0612456277,-0.0245876629,10.9749336,0.00294586923,0,1
2.000,0.492385775,0,0,0,-0.0505728424,13.49194,-0.3114749,0.704254031,0.056685932,0.7052236,-0.0589287542,-0.020220425,11.3309469,0.00310669839,0,1
2.100,0.492385775,0,0,0,-0.0523598641,14.6428652,-0.312850446,0.7045858,0.0542402528,0.7052808,-0.05653273,-0.015462013,11.6889114,0.00323836133,0,1
2.200,0.492385775,0,0,0,-0.05365433,15.8298187,-0.314240575,0.704902947,0.0517308973,0.7053449,-0.05407694,-0.0103781009,12.0519581,0.00334301777,0,1
2.300,0.492385775,0,0,0,-0.05442607,17.0534363,-0.315641671,0.705208361,0.0491764,0.705409467,-0.0515801162,-0.00501320325,12.4224758,0.00342200045,0,1
2.400,0.492385775,0,0,0,-0.0546485,18.3145428,-0.3170522,0.7055029,0.046594955,0.7054698,-0.0490602329,0.000604806934,12.8022919,0.00347637758,0,1
2.500,0.492385775,0,0,0,-0.0542973764,19.6141663,-0.318464428,0.7057869,0.0440046974,0.705523133,-0.04653463,0.00645508152,13.19277,0.00350683,0,1
2.600,0.492385775,0,0,0,-0.05335038,20.9534054,-0.319879144,0.706059933,0.0414237529,0.7055677,-0.0440202281,0.012519408,13.5944195,0.00351201743,0,1
2.700,0.492385775,0,0,0,-0.0517873131,22.3331261,-0.321091354,0.706321836,0.0388695,0.705601633,-0.041533187,0.0187715087,14.0012426,0.003483639,0,1
2.800,0.492385775,0,0,0,-0.049590867,23.7536888,-0.322500736,0.706572235,0.0363629758,0.705623865,-0.0390934348,0.02518297,14.4113588,0.00342547614,0,1
2.900,0.492385775,0,0,0,-0.04674642,25.21543,-0.323699266,0.7068104,0.0339249633,0.705634356,-0.03672064,0.03172731,14.8247509,0.00334052928,0,1
3.000,0.508629441,0.6,0.003317217,0,-0.04324203,26.7186565,-0.32488656,0.707032442,0.0316524431,0.7056292,-0.0345090851,0.0383771062,15.2408085,-0.0108333752,0,1
3.100,0.903355539,0.6,0.00223533832,0,-0.03901459,28.2728653,-0.3775786,0.702094436,0.0906787142,0.700225055,-0.09233383,0.046566397,15.7671719,-1.34340549,0,1
3.200,0.980991662,0.6,0.000909113442,0,-0.034098383,29.8161068,-0.6463773,0.6843781,0.182194248,0.6820597,-0.18228133,0.04992209,14.7603369,-4.12426043,0,1
3.300,0.996261358,0.6,-0.000296040933,0,-0.0293536056,31.18243,-1.18798912,0.6549521,0.270390362,0.6523256,-0.269069,0.0442495756,12.6249323,-6.42791033,0,1
3.400,0.999264657,0.6,-0.00290808966,0,-0.0254418477,32.3491,-1.88052642,0.6169001,0.3497715,0.613987267,-0.346574366,0.0327279978,10.61237,-7.27701855,0,1
3.500,0.9998554,0.6,-0.006352468,0,-0.022906987,33.2993126,-2.61767483,0.573377669,0.417425543,0.5709747,-0.413499564,0.0182870533,8.412583,-7.365476,0,1
3.600,0.999971569,0.6,-0.0194169618,0,-0.0216811411,34.0403175,-3.33968377,0.5253307,0.475551426,0.5243224,-0.472191274,0.006862964,6.46068668,-7.03261328,0,0
3.700,0.9999944,0.6,-0.4,0,-0.0212338064,34.601738,-4.01993465,-0.4668094,-0.5219101,-0.47787866,0.5304064,0.00679890672,4.81611633,-6.569212,0,0
3.800,0.9999989,0.6,-0.4,0,-0.017905185,35.0109253,-4.654528,-0.383846462,-0.543884933,-0.4405839,0.602276444,0.077373974,3.39072752,-6.13073635,0,0
3.900,0.999999762,0.6,-0.4,0,-0.00143710664,35.28239,-5.2481246,-0.284606636,-0.5420971,-0.399823546,0.6821077,0.278073251,2.04169583,-5.7534523,0,0
4.000,0.99999994,0.6,-0.4,0,0.0443379544,35.41837,-5.80573273,-0.173130423,-0.5106937,-0.353037119,0.76458,0.678568065,0.6702464,-5.39061069,0,0
4.100,1,0.6,-0.4,0,0.1440056,35.4156532,-6.32347441,-0.05115647,-0.447060764,-0.304668874,0.8394621,1.37060571,-0.7217813,-4.94150734,0,0
4.200,1,0.6,-0.4,0,0.330829,35.2764359,-6.788714,0.08036167,-0.357321084,-0.2579725,0.8940435,2.43213367,-2.038625,-4.332549,0,0
4.300,1,0.6,-0.4,0,0.644880652,35.01656,-7.18093538,0.2272729,-0.25171122,-0.21108228,0.9167512,3.9185617,-3.09718513,-3.46869278,0,0
4.400,1,0.6,-0.4,0,1.1244266,34.67296,-7.477349,0.387523025,-0.142056376,-0.1555596,0.897467,5.70741653,-3.67151022,-2.43128824,0,0
4.500,1,0.6,-0.4,0,1.78912032,34.3079758,-7.662094,0.5441991,-0.0395485163,-0.0838472843,0.833818257,7.56637764,-3.475258,-1.24844027,0,0
