# aircraft: glider (electric).par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.009847716,0,0,0,3.56900763E-15,1.04269915E-07,-0.0034830526,0.7071067,2.30739715E-07,0.707106769,-2.30739744E-07,-3.99369371E-10,-0.0116677275,-0.00392399542,0,1
0.100,0.316660047,0,0,0,5.67416123E-08,-0.0005740027,-0.05865462,0.707094967,0.00413561845,0.707094431,-0.004135602,-4.02559544E-06,-0.0133456336,0.0293461215,0,1
0.200,0.4283918,0,0,0,9.61551E-05,-0.00109032379,-0.05657624,0.707044,0.0123924371,0.7069519,-0.012416834,0.0007031034,-0.004647377,-0.00324343331,0,1
0.300,0.469081134,0,0,0,0.000107355816,-0.0009484035,-0.0565959066,0.707010865,0.0126124779,0.706977248,-0.0126345754,0.002829004,0.002262055,-0.003240399,0,1
0.400,0.483898938,0,0,0,-7.46017849E-06,-0.000735262758,-0.0565906949,0.7069975,0.0127765033,0.70698446,-0.0128207589,-0.004109723,0.00135186734,-0.00323903188,0,1
0.500,0.489295125,0,0,0,-2.06192144E-05,-0.000390084548,-0.05662505,0.706899464,0.0125548439,0.707089961,-0.0126218824,-0.005913241,0.0024301135,-0.00323919952,0,1
0.600,0.49126026,0,0,0,-0.0001926552,-0.00018666395,-0.0568495877,0.7068228,0.0127932942,0.707157552,-0.01288608,-0.008212459,0.00251362287,-0.00323847868,0,1
0.700,0.4919759,0,0,0,-0.00035200268,0.000112707334,-0.0564151965,0.706790864,0.0127069158,0.7071924,-0.0128086088,0.001434726,-0.00591515657,-0.00323872454,0,1
0.800,0.492236525,0,0,0,-0.0003441435,0.000353116135,-0.056427747,0.706718564,0.0128054637,0.7072606,-0.0129316356,3.77386168E-05,-0.009754803,-0.00323850848,0,1
0.900,0.492331415,0,0,0,-0.000634418742,0.000652896066,-0.056424316,0.706587851,0.012667588,0.7073961,-0.0128015717,0.00235028239,0.0010498669,-0.00323873013,0,1
1.000,0.492366,0,0,0,-0.000902448141,0.0009592512,-0.05644141,0.7063207,0.0126965195,0.7076613,-0.0128609221,0.007629347,-0.007971119,-0.00323868915,0,1
1.100,0.4923786,0,0,0,-0.000925381435,0.00124361238,-0.0566966422,0.7062889,0.0125605427,0.7076975,-0.0127474619,0.00415061833,0.002298154,-0.00323886424,0,1
1.200,0.492383152,0,0,0,-0.00107261736,0.00144734513,-0.0569254421,0.706213534,0.0127980923,0.707763553,-0.013013849,0.000705422834,0.0024278448,-0.00323822163,0,1
1.300,0.492384821,0,0,0,-0.00140090333,0.00180621783,-0.0564998053,0.705994248,0.0126029877,0.7079888,-0.0128512485,-0.008175729,0.00249336381,-0.00323868357,0,1
1.400,0.492385447,0,0,0,-0.00188777351,0.00215142849,-0.05650003,0.705765367,0.012408928,0.7082234,-0.0126892924,0.00706034526,-0.00631096,-0.00323915668,0,1
1.500,0.492385656,0,0,0,-0.00221642153,0.002379041,-0.05675936,0.7055833,0.0125420839,0.708399355,-0.0128557673,-0.00160003547,0.002420565,-0.00323872827,0,1
