# aircraft: glider (pure).par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.009847716,0,0,0,0,0,-0.0034830526,0.7071067,0,0.707106769,0,0,0,-0.00392399542,0,1
0.100,0.316660047,0,0,0,2.442608E-09,-0.000156959257,-0.0594887249,0.707105,0.00166492269,0.7071046,-0.00166492257,-2.53806647E-05,-0.009808449,-0.00326998346,0,1
0.200,0.4283918,0,0,0,3.605378E-05,-0.0006645337,-0.05883475,0.707095265,0.00516560953,0.707080662,-0.005161477,-0.00371970562,-0.00703878328,-0.00326998159,0,1
0.300,0.469081134,0,0,0,0.000123122372,-0.001274726,-0.058141537,0.7070847,0.008876465,0.7070176,-0.00885406,0.0177456513,-0.00591807766,-0.00719396025,0,1
0.400,0.483898938,0,0,0,-8.928953E-06,-0.00180587824,-0.0564810038,0.7066319,0.01219117,0.707370937,-0.0122136353,-0.00111433351,-0.00377420569,-0.00326998532,0,1
0.500,0.489295125,0,0,0,1.450337E-05,-0.00171213353,-0.05582703,0.7064711,0.01219598,0.7075311,-0.0122318,-0.0005712817,-0.003893884,-0.003269961,0,1
0.600,0.49126026,0,0,0,2.32622151E-05,-0.00161563163,-0.0551730543,0.7064667,0.0121663157,0.707536459,-0.0122044971,-0.0002406387,-0.00392833352,-0.003269961,0,1
0.700,0.4919759,0,0,0,2.69626726E-05,-0.00151879631,-0.0551206358,0.7064675,0.01213533,0.7075367,-0.0121748019,-0.000103026119,-0.003934619,-0.003269961,0,1
0.800,0.492236525,0,0,0,2.86117083E-05,-0.00142193213,-0.0550689138,0.7064681,0.0121028963,0.707537234,-0.0121433511,-4.62481548E-05,-0.00393601041,-0.003269961,0,1
0.900,0.492331415,0,0,0,2.93923222E-05,-0.0013250882,-0.05501727,0.706468463,0.0120716505,0.7075379,-0.0121126212,-2.29992656E-05,-0.00393652776,-0.003269961,0,1
1.000,0.492366,0,0,0,2.978287E-05,-0.00122827338,-0.0549650043,0.706468761,0.0120430691,0.707538545,-0.0120840436,-1.32312362E-05,-0.003936893,-0.003269961,0,1
1.100,0.4923786,0,0,0,3.0016352E-05,-0.00113148871,-0.05491348,0.706469059,0.0120122973,0.7075394,-0.0120531926,-9.113512E-06,-0.003937206,-0.003269961,0,1
1.200,0.492383152,0,0,0,3.01879063E-05,-0.00103473454,-0.0548616536,0.7064692,0.0119783552,0.7075403,-0.0120191947,-7.290182E-06,-0.00393751869,-0.003269961,0,1
1.300,0.492384821,0,0,0,3.0334988E-05,-0.0009380113,-0.0548082776,0.7064695,0.0119449571,0.707541168,-0.0119857388,-6.80286576E-06,-0.003937832,-0.003269961,0,1
1.400,0.492385447,0,0,0,3.04735968E-05,-0.0008413211,-0.0547558926,0.7064697,0.0119169131,0.7075419,-0.0119576473,-6.25657231E-06,-0.003938163,-0.003269961,0,1
1.500,0.492385656,0,0,0,3.06065E-05,-0.0007446616,-0.05450247,0.7064699,0.0118861282,0.7075428,-0.0119268177,-6.14923556E-06,-0.00393846259,-0.003269961,0,1
