# aircraft: tiger.par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0,0,0,0,0,0,-0.0188379679,0.7071067,0,0.707106769,0,0,0,-0.00196199678,0,1
0.100,0,0,0,0,0,0,-0.276021242,0.7071067,0,0.707106769,0,0,0,-0.00178362988,0,1
0.200,0,0,0,0,0,0,-0.277038,0.7071067,0,0.707106769,0,0,0,-0.00178363174,0,1
0.300,0,0,0,0,0,0,-0.277038872,0.7071067,0,0.707106769,0,0,0,-0.00178363174,0,1
0.400,0,0,0,0,0,0,-0.277039438,0.7071067,0,0.707106769,0,0,0,-0.00178362988,0,1
0.500,0,0,0,0,0,0,-0.2770398,0.7071067,0,0.707106769,0,0,0,-0.00178362988,0,1
0.600,0,0,0,0,0,0,-0.277040035,0.7071067,0,0.707106769,0,0,0,-0.001783628,0,1
0.700,0,0,0,0,0,0,-0.277040184,0.7071067,0,0.707106769,0,0,0,-0.00178362615,0,1
0.800,0,0,0,0,0,0,-0.277040273,0.7071067,0,0.707106769,0,0,0,-0.00178362429,0,1
0.900,0,0,0,0,0,0,-0.277040333,0.7071067,0,0.707106769,0,0,0,-0.00178362615,0,1
1.000,0,0,0,0,0,0,-0.2770404,0.7071067,0,0.707106769,0,0,0,-0.00178362429,0,1
1.100,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178362243,0,1
1.200,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178362057,0,1
1.300,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178362057,0,1
1.400,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178361684,0,1
1.500,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178361684,0,1
1.600,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178361312,0,1
1.700,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178361125,0,1
1.800,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178360939,0,1
1.900,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178360566,0,1
2.000,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178360194,0,1
2.100,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178359821,0,1
2.200,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178359449,0,1
2.300,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178359076,0,1
2.400,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.001783587,0,1
2.500,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178358145,0,1
2.600,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.001783574,0,1
2.700,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178356655,0,1
2.800,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.001783561,0,1
2.900,0,0,0,0,0,0,-0.277040422,0.7071067,0,0.707106769,0,0,0,-0.00178355165,0,1
3.000,0.006,0.05,0,0,-7.241049E-19,-2.11550014E-11,-0.2770405,0.7071067,9.920111E-11,0.707106769,-9.920112E-11,-7.24104856E-16,-2.1155E-08,-0.00177583285,0,1
