# aircraft: tiger (coaxial).par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.00196954352,0,0,0,0,0,-0.007524616,0.7071067,0,0.707106769,0,0,0,-0.0001959335,0,1
0.100,0.0910279453,0,0,0,0,0,-0.109655924,0.7071067,0,0.707106769,0,0,0,-0.000175680965,0,1
0.200,0.163913563,0,0,0,0,0,-0.109652728,0.7071067,0,0.707106769,0,0,0,-0.00014944654,0,1
0.300,0.223563313,0,0,0,0,0,-0.10958682,0.7071067,0,0.707106769,0,0,0,-0.000120617449,0,1
0.400,0.272380829,0,0,0,0,0,-0.109661922,0.7071067,0,0.707106769,0,0,0,-9.320583E-05,0,1
0.500,0.3123332,0,0,0,0,0,-0.109662712,0.7071067,0,0.707106769,0,0,0,-6.93663E-05,0,1
0.600,0.3450303,0,0,0,0,0,-0.109770983,0.7071067,0,0.707106769,0,0,0,-4.97582369E-05,0,1
0.700,0.3717897,0,0,0,0,0,-0.109765626,0.7071067,0,0.707106769,0,0,0,-3.417139E-05,0,1
0.800,0.393689662,0,0,0,0,0,-0.1096285,0.7071067,0,0.707106769,0,0,0,-2.19973736E-05,0,1
0.900,0.41161263,0,0,0,0,0,-0.109744407,0.7071067,0,0.707106769,0,0,0,-1.25805382E-05,0,1
1.000,0.426280856,0,0,0,0,0,-0.109701283,0.7071067,0,0.707106769,0,0,0,-5.30312536E-06,0,1
1.100,0.438285351,0,0,0,0,0,-0.109689958,0.7071067,0,0.707106769,0,0,0,-7.223865E-05,0,1
1.200,0.448109865,0,0,0,0,0,-0.110164292,0.7071067,0,0.707106769,0,0,0,-0.0127535192,0,1
1.300,0.456150264,0,0,0,0,0,-0.112774633,0.7071067,0,0.707106769,0,0,0,-0.04153067,0,1
1.400,0.462730527,0,0,0,0,0,-0.118788131,0.7071067,0,0.707106769,0,0,0,-0.07989386,0,1
1.500,0.468115866,0,0,0,0,0,-0.128912762,0.7071067,0,0.707106769,0,0,0,-0.123077035,0,1
1.600,0.4725232,0,0,0,0,0,-0.143446863,0.7071067,0,0.707106769,0,0,0,-0.167589858,0,1
1.700,0.476130217,0,0,0,0,0,-0.1623896,0.7071067,0,0.707106769,0,0,0,-0.210892081,0,1
1.800,0.4790822,0,0,0,0,0,-0.185523719,0.7071067,0,0.707106769,0,0,0,-0.251164079,0,0
1.900,0.4814981,0,0,0,0,0,-0.2124789,0.7071067,0,0.707106769,0,0,0,-0.287144,0,0
2.000,0.483475268,0,0,0,0,0,-0.24278152,0.7071067,0,0.707106769,0,0,0,-0.318007231,0,0
2.100,0.485093385,0,0,0,0,0,-0.2758934,0.7071067,0,0.707106769,0,0,0,-0.343273669,0,0
2.200,0.486417681,0,0,0,0,0,-0.311242551,0.7071067,0,0.707106769,0,0,0,-0.3627362,0,0
2.300,0.487501472,0,0,0,0,0,-0.34824723,0.7071067,0,0.707106769,0,0,0,-0.3764013,0,0
2.400,0.488388449,0,0,0,0,0,-0.386335224,0.7071067,0,0.707106769,0,0,0,-0.3844423,0,0
2.500,0.489114344,0,0,0,0,0,-0.4249581,0.7071067,0,0.707106769,0,0,0,-0.387157977,0,0
2.600,0.489708453,0,0,0,0,0,-0.4636023,0.7071067,0,0.707106769,0,0,0,-0.3849403,0,0
2.700,0.490194649,0,0,0,0,0,-0.501796961,0.7071067,0,0.707106769,0,0,0,-0.378245831,0,0
2.800,0.490592539,0,0,0,0,0,-0.539119,0.7071067,0,0.707106769,0,0,0,-0.367572427,0,0
2.900,0.4909182,0,0,0,0,0,-0.575196266,0.7071067,0,0.707106769,0,0,0,-0.353440374,0,0
