# aircraft: trainer.par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
0.000,0.009847716,0,0,0,6.74146E-15,1.969543E-07,-0.0103023387,0.7071067,-1.238806E-06,0.707106769,1.23880614E-06,-3.69102041E-11,-0.00107834558,-0.005885996,0,1
0.100,0.316660047,0,0,0,2.889405E-10,0.00476668635,-0.155406609,0.70710665,-0.000237225773,0.7071067,0.000237225351,8.060956E-08,0.143377528,-0.00452799164,0,1
0.200,0.4283918,0,0,0,-1.31745143E-10,0.03492473,-0.155615658,0.707102954,0.00229618815,0.7071032,-0.00229616626,-1.22372256E-07,0.476847738,-0.00451179966,0,1
0.300,0.469081134,0,0,0,-9.862326E-09,0.102456763,-0.155090615,0.707090557,0.004839565,0.707089841,-0.00483950274,8.69927845E-08,0.8792721,-0.00448936969,0,1
0.400,0.483898938,0,0,0,1.36537267E-07,0.211726412,-0.153153151,0.707052052,0.009331515,0.7070384,-0.009331164,5.787824E-06,1.31017327,0.0820731148,0,1
0.500,0.489295125,0,0,0,1.24035932E-06,0.364059329,-0.15233472,0.7070596,0.007509618,0.7070742,-0.007509949,4.65754465E-06,1.74022055,-0.004444251,0,1
0.600,0.49126026,0,0,0,3.568164E-07,0.5599333,-0.1524823,0.7070634,0.00782644749,0.7070635,-0.007828099,-1.39124113E-05,2.17629433,-0.004426105,0,1
0.700,0.4919759,0,0,0,-6.410027E-07,0.7993825,-0.151967645,0.707063556,0.00777675072,0.7070644,-0.00777942548,-7.085172E-06,2.611474,-0.004405273,0,1
0.800,0.492236525,0,0,0,-1.52554969E-06,1.08226514,-0.151451677,0.707094431,0.00346777914,0.7071021,-0.003471661,-1.29221607E-05,3.04489422,-0.00445064157,0,1
0.900,0.492331415,0,0,0,-3.42091721E-06,1.40838,-0.155080751,0.7070987,0.00272042,0.7071043,-0.00272557838,-2.34557083E-05,3.47600126,-0.00445625931,0,1
1.000,0.492366,0,0,0,-5.885714E-06,1.77747381,-0.1545648,0.7070865,0.00520351529,0.7070886,-0.00520980032,-2.465442E-05,3.904424,-0.00438836776,0,1
